rater_id,study,repeat1,repeat_stat,reprod,reprod_stat,n_diag,diag_id,validation,stat,coefs,author,pub_year,link1,link,link2,journal,country,lang,pub_type,crop,organ,dis_name,pathogen,pathogen_group,n_dev,n_valid,img_dev,sev_quant,diag_type,col_type,n_diagrams,min_sev,max_sev,n_sads,HB,id_rater,rater_exp,n_assess,id_assess,unaided_R2,aided_R2,unaided_a,aided_a,unaided_b,aided_b,n_citation_2017,Kind_of_lesion,lesion_number,coalesc,lesion_shape,Kind_of_organ
48,5,0,NA,0,NA,1,1,Unaided_aided,LM,R2_a_b,Michereff et al.,2000,"<a target = ""_blank"" href=""",NA,"""><i class=""fa fa-external-link"" aria-hidden=""true""></i></a>",Trop Plant Pathol (Fitopatol Bras),Brazil,PT,Article,Yam,Leaf,Yam leaf blight,Curvularia eragrostidis,Fungi,150,50,Digital,MOP Videoplan,Drawing,Black-white,6,1,32,1,Yes,5,No,2,1,0.3,0.52,33.53,5.85,1.07,0.73,41,NL_HET_NO_COAL,numerous_lesions,no_coalescent,heterometric,Wide_leaf
45,5,0,NA,0,NA,1,1,Unaided_aided,LM,R2_a_b,Michereff et al.,2000,"<a target = ""_blank"" href=""",NA,"""><i class=""fa fa-external-link"" aria-hidden=""true""></i></a>",Trop Plant Pathol (Fitopatol Bras),Brazil,PT,Article,Yam,Leaf,Yam leaf blight,Curvularia eragrostidis,Fungi,150,50,Digital,MOP Videoplan,Drawing,Black-white,6,1,32,1,Yes,2,No,2,1,0.32,0.67,18.07,0.18,0.77,0.76,41,NL_HET_NO_COAL,numerous_lesions,no_coalescent,heterometric,Wide_leaf
47,5,0,NA,0,NA,1,1,Unaided_aided,LM,R2_a_b,Michereff et al.,2000,"<a target = ""_blank"" href=""",NA,"""><i class=""fa fa-external-link"" aria-hidden=""true""></i></a>",Trop Plant Pathol (Fitopatol Bras),Brazil,PT,Article,Yam,Leaf,Yam leaf blight,Curvularia eragrostidis,Fungi,150,50,Digital,MOP Videoplan,Drawing,Black-white,6,1,32,1,Yes,4,No,2,1,0.47,0.87,14.14,2.33,1.15,0.73,41,NL_HET_NO_COAL,numerous_lesions,no_coalescent,heterometric,Wide_leaf
51,5,0,NA,0,NA,1,1,Unaided_aided,LM,R2_a_b,Michereff et al.,2000,"<a target = ""_blank"" href=""",NA,"""><i class=""fa fa-external-link"" aria-hidden=""true""></i></a>",Trop Plant Pathol (Fitopatol Bras),Brazil,PT,Article,Yam,Leaf,Yam leaf blight,Curvularia eragrostidis,Fungi,150,50,Digital,MOP Videoplan,Drawing,Black-white,6,1,32,1,Yes,8,Yes,2,1,0.51,0.77,13.91,6.98,0.99,0.65,41,NL_HET_NO_COAL,numerous_lesions,no_coalescent,heterometric,Wide_leaf
53,5,0,NA,0,NA,1,1,Unaided_aided,LM,R2_a_b,Michereff et al.,2000,"<a target = ""_blank"" href=""",NA,"""><i class=""fa fa-external-link"" aria-hidden=""true""></i></a>",Trop Plant Pathol (Fitopatol Bras),Brazil,PT,Article,Yam,Leaf,Yam leaf blight,Curvularia eragrostidis,Fungi,150,50,Digital,MOP Videoplan,Drawing,Black-white,6,1,32,1,Yes,10,Yes,2,1,0.58,0.84,11.49,1.1,0.96,1.09,41,NL_HET_NO_COAL,numerous_lesions,no_coalescent,heterometric,Wide_leaf
52,5,0,NA,0,NA,1,1,Unaided_aided,LM,R2_a_b,Michereff et al.,2000,"<a target = ""_blank"" href=""",NA,"""><i class=""fa fa-external-link"" aria-hidden=""true""></i></a>",Trop Plant Pathol (Fitopatol Bras),Brazil,PT,Article,Yam,Leaf,Yam leaf blight,Curvularia eragrostidis,Fungi,150,50,Digital,MOP Videoplan,Drawing,Black-white,6,1,32,1,Yes,9,Yes,2,1,0.63,0.79,14.1,3.7,0.71,0.72,41,NL_HET_NO_COAL,numerous_lesions,no_coalescent,heterometric,Wide_leaf
44,5,0,NA,0,NA,1,1,Unaided_aided,LM,R2_a_b,Michereff et al.,2000,"<a target = ""_blank"" href=""",NA,"""><i class=""fa fa-external-link"" aria-hidden=""true""></i></a>",Trop Plant Pathol (Fitopatol Bras),Brazil,PT,Article,Yam,Leaf,Yam leaf blight,Curvularia eragrostidis,Fungi,150,50,Digital,MOP Videoplan,Drawing,Black-white,6,1,32,1,Yes,1,No,2,1,0.65,0.77,10.04,-0.63,0.92,0.77,41,NL_HET_NO_COAL,numerous_lesions,no_coalescent,heterometric,Wide_leaf
46,5,0,NA,0,NA,1,1,Unaided_aided,LM,R2_a_b,Michereff et al.,2000,"<a target = ""_blank"" href=""",NA,"""><i class=""fa fa-external-link"" aria-hidden=""true""></i></a>",Trop Plant Pathol (Fitopatol Bras),Brazil,PT,Article,Yam,Leaf,Yam leaf blight,Curvularia eragrostidis,Fungi,150,50,Digital,MOP Videoplan,Drawing,Black-white,6,1,32,1,Yes,3,No,2,1,0.7,0.78,3.22,0.7,0.81,0.82,41,NL_HET_NO_COAL,numerous_lesions,no_coalescent,heterometric,Wide_leaf
50,5,0,NA,0,NA,1,1,Unaided_aided,LM,R2_a_b,Michereff et al.,2000,"<a target = ""_blank"" href=""",NA,"""><i class=""fa fa-external-link"" aria-hidden=""true""></i></a>",Trop Plant Pathol (Fitopatol Bras),Brazil,PT,Article,Yam,Leaf,Yam leaf blight,Curvularia eragrostidis,Fungi,150,50,Digital,MOP Videoplan,Drawing,Black-white,6,1,32,1,Yes,7,Yes,2,1,0.73,0.86,14.75,-0.18,1.78,0.76,41,NL_HET_NO_COAL,numerous_lesions,no_coalescent,heterometric,Wide_leaf
49,5,0,NA,0,NA,1,1,Unaided_aided,LM,R2_a_b,Michereff et al.,2000,"<a target = ""_blank"" href=""",NA,"""><i class=""fa fa-external-link"" aria-hidden=""true""></i></a>",Trop Plant Pathol (Fitopatol Bras),Brazil,PT,Article,Yam,Leaf,Yam leaf blight,Curvularia eragrostidis,Fungi,150,50,Digital,MOP Videoplan,Drawing,Black-white,6,1,32,1,Yes,6,Yes,2,1,0.76,0.85,7.29,-0.64,1.51,0.92,41,NL_HET_NO_COAL,numerous_lesions,no_coalescent,heterometric,Wide_leaf
95,12,0,NA,1,R2_a_b,1,1,Unaided_aided,LM,R2_a_b,Sposito et al.,2004,"<a target = ""_blank"" href=""",http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-41582004000100012&lng=pt&nrm=iso&tlng=pt,"""><i class=""fa fa-external-link"" aria-hidden=""true""></i></a>",Trop Plant Pathol (Fitopatol Bras),Brazil,PT,Article,Citrus,Fruit,Black spot,Guignardia citricarpa,Fungi,50,50,Digital,SIARCS 3.0,Drawing,Black-white,6,0.5,68,2,Yes,4,NA,1,1,0.85,0.89,5.17,3.65,1.22,0.96,47,NL_IS_COAL,numerous_lesions,coalescent,isometric,Simple_fruit
93,12,0,NA,1,R2_a_b,1,1,Unaided_aided,LM,R2_a_b,Sposito et al.,2004,"<a target = ""_blank"" href=""",http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-41582004000100012&lng=pt&nrm=iso&tlng=pt,"""><i class=""fa fa-external-link"" aria-hidden=""true""></i></a>",Trop Plant Pathol (Fitopatol Bras),Brazil,PT,Article,Citrus,Fruit,Black spot,Guignardia citricarpa,Fungi,50,50,Digital,SIARCS 3.0,Drawing,Black-white,6,0.5,68,2,Yes,2,NA,1,1,0.88,0.95,5.29,1.94,1.11,1.13,47,NL_IS_COAL,numerous_lesions,coalescent,isometric,Simple_fruit
